date,price,bedrooms,bathrooms,qm_living,qm_lot,floors,waterfront,view,condition,grade,qm_above_ground,qm_basement,yr_built,yr_renovated,zipcode,yrs_since_renovation,house_age,yrs_built_ren,lat,long,qm_living15,qm_lot15,renovated
10,221900.0,3,1.0,109.626,524.902,1.0,0.0,0.0,3,7,359.664,0.0,1955,0.0,98178,0.0,60,1955.0,47.511,-122.257,124.49,524.902,0
12,538000.0,3,2.25,238.761,672.804,2.0,0.0,0.0,3,7,661.416,121.92,1951,1991.0,98125,24.0,64,-40.0,47.721,-122.319,157.006,709.686,1
2,180000.0,2,1.0,71.535,929.03,1.0,0.0,0.0,3,6,234.696,0.0,1933,0.0,98028,0.0,82,1933.0,47.738,-122.233,252.696,748.984,0
12,604000.0,4,3.0,182.09,464.515,1.0,0.0,0.0,5,7,320.04,277.368,1965,0.0,98136,0.0,50,1965.0,47.521,-122.393,126.348,464.515,0
2,510000.0,3,2.0,156.077,750.656,1.0,0.0,0.0,3,8,512.064,0.0,1987,0.0,98074,0.0,28,1987.0,47.617,-122.045,167.225,697.051,0
1,291850.0,3,1.5,98.477,902.181,1.0,0.0,0.0,3,7,323.088,0.0,1963,0.0,98198,0.0,52,1963.0,47.41,-122.315,153.29,902.181,0
4,229500.0,3,1.0,165.367,693.985,1.0,0.0,0.0,3,7,320.04,222.504,1960,0.0,98146,0.0,55,1960.0,47.512,-122.337,165.367,753.722,0
3,323000.0,3,2.5,175.587,609.444,2.0,0.0,0.0,3,7,576.072,0.0,2003,0.0,98038,0.0,12,2003.0,47.368,-122.031,222.038,703.276,0
5,468000.0,2,1.0,107.767,557.418,1.0,0.0,0.0,4,7,262.128,91.44,1942,0.0,98115,0.0,73,1942.0,47.69,-122.292,123.561,557.418,0
5,310000.0,3,1.0,132.851,1848.863,1.5,0.0,0.0,4,7,435.864,0.0,1927,0.0,98028,0.0,88,1927.0,47.756,-122.229,165.367,1179.589,0
10,400000.0,3,1.75,127.277,899.301,1.0,0.0,0.0,4,7,417.576,0.0,1977,0.0,98074,0.0,38,1977.0,47.613,-122.045,127.277,948.354,0
3,530000.0,5,2.0,168.154,450.58,1.5,0.0,0.0,3,7,551.688,0.0,1900,0.0,98107,0.0,115,1900.0,47.67,-122.394,126.348,450.58,0
7,395000.0,3,2.0,175.587,1304.358,2.0,0.0,0.0,3,7,576.072,0.0,1994,0.0,98019,0.0,21,1994.0,47.728,-121.962,175.587,1302.314,0
5,485000.0,4,1.0,148.645,399.483,1.5,0.0,0.0,4,7,487.68,0.0,1916,0.0,98103,0.0,99,1916.0,47.665,-122.343,149.574,399.483,0
4,230000.0,3,1.0,116.129,908.034,1.0,0.0,0.0,4,7,381.0,0.0,1969,0.0,98003,0.0,46,1969.0,47.334,-122.306,118.916,822.192,0
5,385000.0,4,1.75,150.503,462.657,1.0,0.0,0.0,4,7,262.128,231.648,1947,0.0,98133,0.0,68,1947.0,47.702,-122.341,130.064,462.657,0
7,285000.0,5,2.5,210.89,585.289,2.0,0.0,0.0,3,8,691.896,0.0,1995,0.0,98092,0.0,20,1995.0,47.327,-122.169,208.103,650.786,0
5,252700.0,2,1.5,99.406,895.864,1.0,0.0,0.0,3,7,326.136,0.0,1985,0.0,98030,0.0,30,1985.0,47.353,-122.166,113.342,779.085,0
11,329000.0,3,2.25,227.612,603.87,2.0,0.0,0.0,4,8,746.76,0.0,1985,0.0,98030,0.0,30,1985.0,47.374,-122.172,204.387,637.779,0
11,233000.0,3,2.0,158.864,436.365,1.5,0.0,0.0,5,6,521.208,0.0,1941,0.0,98002,0.0,74,1941.0,47.305,-122.218,95.69,437.109,0
6,937000.0,3,1.75,227.612,250.002,2.0,0.0,0.0,3,8,533.4,213.36,1915,0.0,98119,0.0,100,1915.0,47.639,-122.36,163.509,331.942,0
12,667000.0,3,1.0,130.064,146.88,1.5,0.0,0.0,5,8,426.72,0.0,1909,0.0,98112,0.0,106,1909.0,47.622,-122.314,172.8,358.698,0
6,438000.0,3,1.75,141.213,592.721,1.0,0.0,0.0,3,7,240.792,222.504,1948,0.0,98115,0.0,67,1948.0,47.695,-122.304,141.213,579.25,0
3,719000.0,4,2.5,238.761,666.393,2.0,0.0,0.0,3,8,783.336,0.0,2005,0.0,98052,0.0,10,2005.0,47.707,-122.11,244.335,559.833,0
11,580500.0,3,2.5,215.535,369.754,2.0,0.0,0.0,3,8,707.136,0.0,2003,0.0,98027,0.0,12,2003.0,47.539,-122.07,239.69,369.754,0
12,280000.0,2,1.5,110.555,117.522,3.0,0.0,0.0,3,7,362.712,0.0,2005,0.0,98133,0.0,10,2005.0,47.727,-122.357,129.135,163.138,0
6,687500.0,4,1.75,216.464,464.515,1.5,0.0,0.0,4,7,460.248,249.936,1929,0.0,98117,0.0,86,1929.0,47.682,-122.368,135.638,464.515,0
11,535000.0,3,1.0,101.264,278.709,1.5,0.0,0.0,4,8,332.232,0.0,1929,0.0,98117,0.0,86,1929.0,47.689,-122.375,145.858,471.947,0
12,322500.0,4,2.75,191.38,618.641,1.0,0.0,0.0,3,7,390.144,237.744,1981,0.0,98058,0.0,34,1981.0,47.428,-122.157,187.664,810.114,0
6,696000.0,3,2.5,213.677,284.283,1.5,0.0,0.0,3,8,460.248,240.792,1930,2002.0,98115,13.0,85,-72.0,47.683,-122.31,147.716,303.235,1
12,640000.0,4,2.0,219.251,557.418,2.0,0.0,0.0,4,8,719.328,0.0,1904,0.0,98107,0.0,111,1904.0,47.67,-122.362,160.722,436.644,0
2,240000.0,4,1.0,113.342,750.192,1.0,0.0,0.0,2,7,271.272,100.584,1969,0.0,98001,0.0,46,1969.0,47.334,-122.282,119.845,724.643,0
6,605000.0,4,2.5,243.406,701.696,2.0,0.0,0.0,3,8,798.576,0.0,1996,0.0,98056,0.0,19,1996.0,47.53,-122.18,243.406,1104.059,0
7,625000.0,4,2.5,238.761,512.825,2.0,0.0,0.0,3,9,783.336,0.0,2000,0.0,98074,0.0,15,2000.0,47.614,-122.027,229.47,526.667,0
10,685000.0,3,1.0,145.858,211.819,2.0,0.0,0.0,3,7,478.536,0.0,1922,0.0,98119,0.0,93,1922.0,47.641,-122.364,146.787,245.264,0
7,309000.0,3,1.0,118.916,897.071,1.0,0.0,0.0,4,6,280.416,109.728,1959,0.0,98058,0.0,56,1959.0,47.448,-122.175,124.49,818.29,0
7,488000.0,3,2.5,293.573,1263.76,2.0,0.0,0.0,3,8,963.168,0.0,2003,0.0,98019,0.0,12,2003.0,47.744,-121.977,283.354,857.68,0
3,210490.0,3,1.0,91.974,792.277,1.0,0.0,0.0,3,6,301.752,0.0,1966,0.0,98023,0.0,49,1966.0,47.307,-122.371,114.085,821.263,0
7,785000.0,4,2.5,212.748,1246.387,2.0,0.0,0.0,4,9,697.992,0.0,1981,0.0,98007,0.0,34,1981.0,47.619,-122.151,248.98,1271.378,0
4,450000.0,3,1.75,116.129,553.981,1.0,0.0,0.0,4,7,381.0,0.0,1953,0.0,98115,0.0,62,1953.0,47.68,-122.301,90.116,473.805,0
3,1350000.0,3,2.5,255.762,6039.16,1.0,1.0,2.0,5,9,659.892,179.222,1953,0.0,98070,0.0,62,1953.0,47.404,-122.451,248.98,6736.675,0
9,228000.0,3,1.0,110.555,854.615,1.0,0.0,0.0,3,7,362.712,0.0,1955,0.0,98148,0.0,60,1955.0,47.426,-122.322,110.555,869.944,0
2,345000.0,5,2.5,292.644,848.576,1.0,0.0,0.0,4,8,499.872,460.248,1966,0.0,98056,0.0,49,1966.0,47.493,-122.189,184.877,848.483,0
12,600000.0,3,1.75,130.993,379.044,1.0,0.0,0.0,4,7,304.8,124.968,1950,0.0,98117,0.0,65,1950.0,47.681,-122.384,130.993,379.044,0
2,585000.0,2,1.75,183.948,794.321,1.0,0.0,0.0,3,7,301.752,301.752,1981,0.0,98117,0.0,34,1981.0,47.699,-122.369,137.496,625.98,0
3,920000.0,5,2.25,253.625,557.418,1.5,0.0,0.0,3,8,649.224,182.88,1927,0.0,98105,0.0,88,1927.0,47.657,-122.281,253.625,557.418,0
